pl_name,hostname,discoverymethod,disc_year,pl_eqt,st_teff
K2-138 b,K2-138,Transit,2017,1157.0,5378.0
K2-138 c,K2-138,Transit,2017,1012.0,5378.0
K2-138 d,K2-138,Transit,2017,888.0,5378.0
K2-138 e,K2-138,Transit,2017,757.0,5378.0
K2-138 f,K2-138,Transit,2017,653.0,5378.0
K2-138 g,K2-138,Transit,2021,445.0,5378.0
TOI-5542 b,TOI-5542,Transit,2022,441.0,5700.0
GJ 1214 b,GJ 1214,Transit,2009,567.0,3026.0
HD 17156 b,HD 17156,Radial Velocity,2007,888.0,6079.0
HD 209458 b,HD 209458,Radial Velocity,1999,1459.0,6092.0
WASP-17 b,WASP-17,Transit,2009,1755.0,6650.0
WASP-39 b,WASP-39,Transit,2011,1166.0,5400.0
WASP-43 b,WASP-43,Transit,2011,1426.7,4520.0
GJ 3470 b,GJ 3470,Radial Velocity,2012,593.5,3652.0
WASP-62 b,WASP-62,Transit,2012,1475.3,6230.0
WASP-103 b,WASP-103,Transit,2014,2508.0,6110.0
WASP-96 b,WASP-96,Transit,2014,1285.0,5540.0
KELT-7 b,KELT-7,Transit,2015,2048.0,6789.0
K2-25 b,K2-25,Transit,2015,494.0,3180.0
WASP-121 b,WASP-121,Transit,2016,2720.0,6460.0
HD 3167 b,HD 3167,Transit,2016,1774.0,5528.0
HD 3167 c,HD 3167,Transit,2016,564.0,5528.0
HD 3167 d,HD 3167,Radial Velocity,2017,859.5,5528.0
HIP 67522 b,HIP 67522,Transit,2020,1175.0,5675.0
HD 63433 b,HD 63433,Transit,2020,967.11,5640.0
HD 63433 c,HD 63433,Transit,2020,678.92,5640.0
TOI-269 b,TOI-269,Transit,2021,531.0,3514.0
COCONUTS-2 b,COCONUTS-2 A,Imaging,2021,434.0,3406.0
TOI-283 b,TOI-283,Transit,2025,661.0,5245.0
TOI-4201 b,TOI-4201,Transit,2023,725.0,3920.0
HD 3167 e,HD 3167,Radial Velocity,2022,374.8,5528.0
HD 63433 d,HD 63433,Transit,2023,1040.0,5640.0
SPECULOOS-3 b,SPECULOOS-3,Transit,2024,553.0,2800.0
HIP 67522 c,HIP 67522,Transit,2024,917.0,5675.0
HAT-P-11 b,HAT-P-11,Transit,2008,838.0,4780.0
HD 80606 b,HD 80606,Radial Velocity,2001,405.0,5645.0
TOI-270 b,TOI-270,Transit,2019,600.0,3386.0
TOI-270 c,TOI-270,Transit,2019,489.0,3386.0
TOI-270 d,TOI-270,Transit,2019,383.0,3386.0
GJ 357 b,GJ 357,Transit,2019,518.0,3505.0
GJ 357 c,GJ 357,Radial Velocity,2019,401.2,3505.0
GJ 357 d,GJ 357,Radial Velocity,2019,219.6,3505.0
Kepler-1367 b,Kepler-1367,Transit,2016,998.0,4106.0
Kepler-1716 b,Kepler-1716,Transit,2021,408.0,4813.46
Kepler-668 b,Kepler-668,Transit,2016,790.0,5352.0
Kepler-205 b,Kepler-205,Transit,2014,757.0,4321.0
Kepler-1156 b,Kepler-1156,Transit,2016,787.0,5778.0
Kepler-945 b,Kepler-945,Transit,2016,616.0,5718.0
Kepler-723 b,Kepler-723,Transit,2016,1016.0,5539.0
Kepler-989 b,Kepler-989,Transit,2016,805.0,5074.0
K2-351 b,K2-351,Transit,2021,934.0,5769.0
HD 22946 d,HD 22946,Transit,2023,546.0,6210.0
K2-90 b,K2-90,Transit,2016,502.0,4484.0
Kepler-102 b,Kepler-102,Transit,2014,857.0,4909.0
Kepler-1446 b,Kepler-1446,Transit,2016,1539.0,4865.0
Kepler-1764 b,Kepler-1764,Transit,2021,511.0,6085.02
Kepler-674 b,Kepler-674,Transit,2016,822.0,4192.0
Kepler-1269 b,Kepler-1269,Transit,2016,657.0,5998.0
Kepler-634 b,Kepler-634,Transit,2016,1309.0,6075.0
Kepler-1576 b,Kepler-1576,Transit,2016,1059.0,5674.51
Kepler-681 b,Kepler-681,Transit,2016,489.0,5021.0
Kepler-1796 b,Kepler-1796,Transit,2021,598.0,6103.0
Kepler-68 b,Kepler-68,Transit,2013,1275.0,5793.0
Kepler-53 c,Kepler-53,Transit,2012,550.0,5858.0
Kepler-972 b,Kepler-972,Transit,2016,1060.0,6146.0
Kepler-1508 b,Kepler-1508,Transit,2016,967.0,6158.0
