pl_name,hostname,discoverymethod,disc_year,pl_eqt
K2-138 b,K2-138,Transit,2017,1157
K2-138 c,K2-138,Transit,2017,1012
K2-138 d,K2-138,Transit,2017,888
K2-138 e,K2-138,Transit,2017,757
K2-138 f,K2-138,Transit,2017,653
K2-138 g,K2-138,Transit,2021,445
TOI-5542 b,TOI-5542,Transit,2022,441
GJ 1214 b,GJ 1214,Transit,2009,567
HAT-P-1 b,HAT-P-1,Transit,2006,1322
HD 17156 b,HD 17156,Radial Velocity,2007,888
HD 209458 b,HD 209458,Radial Velocity,1999,1459
HR 8799 b,HR 8799,Imaging,2008,1200
HR 8799 c,HR 8799,Imaging,2008,1200
HR 8799 d,HR 8799,Imaging,2008,1300
HR 8799 e,HR 8799,Imaging,2010,1150
WASP-17 b,WASP-17,Transit,2009,1755
WASP-19 b,WASP-19,Transit,2009,2113
WASP-39 b,WASP-39,Transit,2011,1166
WASP-43 b,WASP-43,Transit,2011,1426.7
GJ 3470 b,GJ 3470,Radial Velocity,2012,593.5
WASP-62 b,WASP-62,Transit,2012,1475.3
WASP-103 b,WASP-103,Transit,2014,2508
WASP-96 b,WASP-96,Transit,2014,1285
KELT-7 b,KELT-7,Transit,2015,2048
51 Eri b,51 Eri,Imaging,2015,700
K2-25 b,K2-25,Transit,2015,494
WASP-121 b,WASP-121,Transit,2016,2720
HD 3167 b,HD 3167,Transit,2016,1774
HD 3167 c,HD 3167,Transit,2016,564
HD 3167 d,HD 3167,Radial Velocity,2017,859.5
NGTS-10 b,NGTS-10,Transit,2020,1332
HIP 67522 b,HIP 67522,Transit,2020,1175
HD 63433 b,HD 63433,Transit,2020,967.11
HD 63433 c,HD 63433,Transit,2020,678.92
TOI-421 b,TOI-421,Transit,2020,922
TOI-421 c,TOI-421,Transit,2020,635
TOI-269 b,TOI-269,Transit,2021,531
COCONUTS-2 b,COCONUTS-2 A,Imaging,2021,434
TOI-283 b,TOI-283,Transit,2025,661
TOI-4201 b,TOI-4201,Transit,2023,725
HD 3167 e,HD 3167,Radial Velocity,2022,374.8
HD 63433 d,HD 63433,Transit,2023,1040
SPECULOOS-3 b,SPECULOOS-3,Transit,2024,553
HIP 67522 c,HIP 67522,Transit,2024,917
HAT-P-11 b,HAT-P-11,Transit,2008,838
HD 80606 b,HD 80606,Radial Velocity,2001,405
WASP-33 b,WASP-33,Transit,2010,2781.7
TOI-270 b,TOI-270,Transit,2019,600
TOI-270 c,TOI-270,Transit,2019,489
TOI-270 d,TOI-270,Transit,2019,383
GJ 357 b,GJ 357,Transit,2019,518
GJ 357 c,GJ 357,Radial Velocity,2019,401.2
GJ 357 d,GJ 357,Radial Velocity,2019,219.6
TOI-756 b,TOI-756,Transit,2025,934
