pl_name,hostname,discoverymethod,disc_year,pl_eqt
K2-138 b,K2-138,Transit,2017,1157.0
K2-138 c,K2-138,Transit,2017,1012.0
K2-138 d,K2-138,Transit,2017,888.0
K2-138 e,K2-138,Transit,2017,757.0
K2-138 f,K2-138,Transit,2017,653.0
K2-138 g,K2-138,Transit,2021,445.0
TOI-5542 b,TOI-5542,Transit,2022,441.0
GJ 1214 b,GJ 1214,Transit,2009,567.0
GJ 832 b,GJ 832,Radial Velocity,2008,
HAT-P-1 b,HAT-P-1,Transit,2006,1322.0
HD 114783 b,HD 114783,Radial Velocity,2001,
HD 11506 b,HD 11506,Radial Velocity,2007,
HD 11506 c,HD 11506,Radial Velocity,2008,
HD 12661 b,HD 12661,Radial Velocity,2000,
HD 12661 c,HD 12661,Radial Velocity,2002,
HD 156279 b,HD 156279,Radial Velocity,2011,
HD 168443 b,HD 168443,Radial Velocity,1998,
HD 168443 c,HD 168443,Radial Velocity,2000,
HD 17156 b,HD 17156,Radial Velocity,2007,888.0
HD 181433 b,HD 181433,Radial Velocity,2008,
HD 181433 c,HD 181433,Radial Velocity,2008,
HD 181433 d,HD 181433,Radial Velocity,2008,
HD 183263 b,HD 183263,Radial Velocity,2004,
HD 183263 c,HD 183263,Radial Velocity,2008,
HD 187123 b,HD 187123,Radial Velocity,1998,
HD 187123 c,HD 187123,Radial Velocity,2008,
HD 209458 b,HD 209458,Radial Velocity,1999,1459.0
HD 217107 b,HD 217107,Radial Velocity,1998,
HD 217107 c,HD 217107,Radial Velocity,2005,
HD 27894 b,HD 27894,Radial Velocity,2005,
HD 66428 b,HD 66428,Radial Velocity,2005,
HD 68988 b,HD 68988,Radial Velocity,2001,
HD 72659 b,HD 72659,Radial Velocity,2002,
HIP 70849 b,HIP 70849,Radial Velocity,2009,
HR 8799 b,HR 8799,Imaging,2008,1200.0
HR 8799 c,HR 8799,Imaging,2008,1200.0
HR 8799 d,HR 8799,Imaging,2008,1300.0
HR 8799 e,HR 8799,Imaging,2010,1150.0
WASP-17 b,WASP-17,Transit,2009,1755.0
WASP-19 b,WASP-19,Transit,2009,2113.0
WASP-39 b,WASP-39,Transit,2011,1166.0
WASP-43 b,WASP-43,Transit,2011,1426.7
GJ 3470 b,GJ 3470,Radial Velocity,2012,593.5
WASP-62 b,WASP-62,Transit,2012,1475.3
HD 24040 b,HD 24040,Radial Velocity,2006,
WASP-103 b,WASP-103,Transit,2014,2508.0
WASP-96 b,WASP-96,Transit,2014,1285.0
KELT-7 b,KELT-7,Transit,2015,2048.0
51 Eri b,51 Eri,Imaging,2015,700.0
K2-25 b,K2-25,Transit,2015,494.0
WASP-121 b,WASP-121,Transit,2016,2720.0
HD 3167 b,HD 3167,Transit,2016,1774.0
HD 3167 c,HD 3167,Transit,2016,564.0
HD 3167 d,HD 3167,Radial Velocity,2017,859.5
HD 27894 c,HD 27894,Radial Velocity,2017,
HD 27894 d,HD 27894,Radial Velocity,2017,
HAT-P-11 c,HAT-P-11,Radial Velocity,2018,
HD 156279 c,HD 156279,Radial Velocity,2018,
HD 114783 c,HD 114783,Radial Velocity,2018,
HD 181234 b,HD 181234,Radial Velocity,2019,
HD 221420 b,HD 221420,Radial Velocity,2019,
NGTS-10 b,NGTS-10,Transit,2020,1332.0
HIP 67522 b,HIP 67522,Transit,2020,1175.0
HD 63433 b,HD 63433,Transit,2020,967.11
HD 63433 c,HD 63433,Transit,2020,678.92
TOI-421 b,TOI-421,Transit,2020,922.0
TOI-421 c,TOI-421,Transit,2020,635.0
TOI-269 b,TOI-269,Transit,2021,531.0
HD 24040 c,HD 24040,Radial Velocity,2021,
HD 66428 c,HD 66428,Radial Velocity,2021,
HD 68988 c,HD 68988,Radial Velocity,2021,
COCONUTS-2 b,COCONUTS-2 A,Imaging,2021,434.0
TOI-283 b,TOI-283,Transit,2025,661.0
TOI-4201 b,TOI-4201,Transit,2023,725.0
HD 11506 d,HD 11506,Radial Velocity,2022,
HD 168863 b,HD 168863,Radial Velocity,2022,
HD 16905 b,HD 16905,Radial Velocity,2022,
HD 29985 b,HD 29985,Radial Velocity,2022,
HD 62364 b,HD 62364,Radial Velocity,2022,
